[2022-03-14 22:03:28]启动机器人 2.18.0
[2022-03-14 22:03:28]开始执行[脚本] [example4_5_2]
[2022-03-14 22:03:29]开始执行[语句块] [playbackScript.xml 第4行] While条件循环 [None]
[OK][2022-03-14 22:03:30]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:30]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:31]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:32]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:33]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:34]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:34]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:34]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:34]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:35]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:35]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:36]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:36]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:36]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:36]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:37]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:37]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:37]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:37]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:38]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:38]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:38]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:39]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第5行] 消息窗口 [消息窗口] [OK]
[OK][2022-03-14 22:03:40]完成执行[原子命令] [playbackScript.xml 第11行] 运行python表达式 [运行python表达式] [OK]
